,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,dream theater,distant memories - live in london (bonus track edition),1,3zvf0lckbllglbiqtqkqfn,"untethered angel - live at hammersmith apollo, london, uk, 2020",spotify:track:3zvf0lckbllglbiqtqkqfn,0.00018,0.463,0.966,0.00148,0.994,-6.179,0.101,89.973,0.201,32
1,dream theater,distant memories - live in london (bonus track edition),2,34webxost256kzarybsdkf,"a nightmare to remember - live at hammersmith apollo, london, uk, 2020",spotify:track:34webxost256kzarybsdkf,9.1e-05,0.257,0.964,0.0753,0.609,-6.921,0.238,136.444,0.0897,32
2,dream theater,distant memories - live in london (bonus track edition),3,4thu3p37j5cawiuxxmvn3l,"fall into the light - live at hammersmith apollo, london, uk, 2020",spotify:track:4thu3p37j5cawiuxxmvn3l,0.000333,0.21,0.972,0.153,0.973,-6.503,0.283,171.961,0.157,30
3,dream theater,distant memories - live in london (bonus track edition),4,4q525o0oi9xf2l7zylxn8h,"barstool warrior - live at hammersmith apollo, london, uk, 2020",spotify:track:4q525o0oi9xf2l7zylxn8h,0.000518,0.394,0.945,0.00615,0.972,-6.379,0.0911,155.978,0.221,31
4,dream theater,distant memories - live in london (bonus track edition),5,5zrpkinlmxujedomkslhqs,"in the presence of enemies - part 1 - live at hammersmith apollo, london, uk, 2020",spotify:track:5zrpkinlmxujedomkslhqs,0.000317,0.172,0.952,0.0952,0.427,-6.449,0.218,186.27,0.171,30
5,dream theater,distant memories - live in london (bonus track edition),6,7rb69mm2e2gghkp9hsbyen,"pale blue dot - live at hammersmith apollo, london, uk, 2020",spotify:track:7rb69mm2e2gghkp9hsbyen,0.000177,0.357,0.941,0.0506,0.983,-7.19,0.186,143.978,0.0825,30
6,dream theater,distant memories - live in london (bonus track edition),1,4nj47oytsvex9nmm9qzipk,"scenes live intro - live at hammersmith apollo, london, uk, 2020",spotify:track:4nj47oytsvex9nmm9qzipk,0.91,0.441,0.439,0.891,0.96,-15.644,0.0437,79.484,0.496,27
7,dream theater,distant memories - live in london (bonus track edition),2,5ipuurlk3wbvfsybg36bbz,"scene one: regression - live at hammersmith apollo, london, uk, 2020",spotify:track:5ipuurlk3wbvfsybg36bbz,0.694,0.445,0.394,0.0,0.459,-15.114,0.0581,110.381,0.505,28
8,dream theater,distant memories - live in london (bonus track edition),3,7rlbxfpbyjenxwqxttyaz4,"scene two: i. overture 1928 - live at hammersmith apollo, london, uk, 2020",spotify:track:7rlbxfpbyjenxwqxttyaz4,0.00017,0.497,0.953,0.894,0.0695,-6.523,0.114,111.325,0.305,30
9,dream theater,distant memories - live in london (bonus track edition),4,4h9hwtq5mkjtu1uygmxayi,"scene two: ii. strange deja vu - live at hammersmith apollo, london, uk, 2020",spotify:track:4h9hwtq5mkjtu1uygmxayi,0.000432,0.292,0.977,1.7e-05,0.432,-5.61,0.126,111.063,0.229,30
10,dream theater,distant memories - live in london (bonus track edition),5,7khkl7pmt1uslglg1rrndu,"scene three: i. through my words - live at hammersmith apollo, london, uk, 2020",spotify:track:7khkl7pmt1uslglg1rrndu,0.886,0.52,0.255,8.08e-06,0.159,-14.991,0.0283,108.24,0.11,28
11,dream theater,distant memories - live in london (bonus track edition),6,1fmm8rfl7q1yevv3bgv5td,"scene three: ii. fatal tragedy - live at hammersmith apollo, london, uk, 2020",spotify:track:1fmm8rfl7q1yevv3bgv5td,0.000336,0.491,0.979,0.0581,0.668,-6.261,0.16,139.951,0.13,30
12,dream theater,distant memories - live in london (bonus track edition),7,19phcgobesoye5bgxwdp7t,"scene four: beyond this life - live at hammersmith apollo, london, uk, 2020",spotify:track:19phcgobesoye5bgxwdp7t,0.000183,0.292,0.979,0.26,0.809,-6.43,0.202,102.352,0.137,28
13,dream theater,distant memories - live in london (bonus track edition),8,59jrlpevvoehq8cogkdnd7,"scene five: through her eyes - live at hammersmith apollo, london, uk, 2020",spotify:track:59jrlpevvoehq8cogkdnd7,0.229,0.532,0.4,0.000134,0.891,-11.535,0.0276,113.989,0.191,28
14,dream theater,distant memories - live in london (bonus track edition),1,1byud8wsauki9aadqrl7bh,"scene six: home - live at hammersmith apollo, london, uk, 2020",spotify:track:1byud8wsauki9aadqrl7bh,0.000726,0.227,0.965,0.00235,0.79,-6.369,0.17,91.302,0.159,28
15,dream theater,distant memories - live in london (bonus track edition),2,7t3unqi6lk4nomywrplqjc,"scene seven: i. the dance of eternity - live at hammersmith apollo, london, uk, 2020",spotify:track:7t3unqi6lk4nomywrplqjc,0.000101,0.267,0.974,0.884,0.276,-7.293,0.101,118.937,0.299,28
16,dream theater,distant memories - live in london (bonus track edition),3,3l6ai9qvs5jfusylgyuiun,"scene seven: ii. one last time - live at hammersmith apollo, london, uk, 2020",spotify:track:3l6ai9qvs5jfusylgyuiun,0.00223,0.335,0.875,3.98e-05,0.6,-6.48,0.0495,108.245,0.31,27
17,dream theater,distant memories - live in london (bonus track edition),4,0gsgj5bhbyuwmesqvrl6pc,"scene eight: the spirit carries on - live at hammersmith apollo, london, uk, 2020",spotify:track:0gsgj5bhbyuwmesqvrl6pc,0.0194,0.452,0.813,0.00138,0.532,-7.095,0.0561,126.947,0.219,29
18,dream theater,distant memories - live in london (bonus track edition),5,2dlu1ophyftifrp0xxwq2y,"scene nine: finally free - live at hammersmith apollo, london, uk, 2020",spotify:track:2dlu1ophyftifrp0xxwq2y,0.00393,0.233,0.88,0.0196,0.825,-7.705,0.14,82.655,0.223,28
19,dream theater,distant memories - live in london (bonus track edition),6,3mslnwcr3nqlazaeennjnm,"at wit's end - live at hammersmith apollo, london, uk, 2020",spotify:track:3mslnwcr3nqlazaeennjnm,0.0007,0.421,0.94,0.00437,0.97,-6.305,0.137,148.018,0.241,26
20,dream theater,distant memories - live in london (bonus track edition),7,5oyaoww6n6wnjdsbkaop32,"paralyzed [bonus track] - live at hammersmith apollo, london, uk, 2020",spotify:track:5oyaoww6n6wnjdsbkaop32,0.000483,0.412,0.978,0.000386,0.974,-6.213,0.197,164.068,0.287,25
21,dream theater,distant memories - live in london (bonus track edition),1,0e6jbhsjjolubfgvlkabgs,"untethered angel - live at hammersmith apollo, london, uk, 2020",spotify:track:0e6jbhsjjolubfgvlkabgs,0.00018,0.463,0.966,0.00148,0.994,-6.179,0.101,89.973,0.201,18
22,dream theater,distant memories - live in london (bonus track edition),2,1hhnlxqqzkn962hj6xszpn,"a nightmare to remember - live at hammersmith apollo, london, uk, 2020",spotify:track:1hhnlxqqzkn962hj6xszpn,9.1e-05,0.257,0.964,0.0753,0.609,-6.921,0.238,136.444,0.0897,19
23,dream theater,distant memories - live in london (bonus track edition),3,7kah4mzfyggthyrq7jw9ox,"fall into the light - live at hammersmith apollo, london, uk, 2020",spotify:track:7kah4mzfyggthyrq7jw9ox,0.000333,0.21,0.972,0.153,0.973,-6.503,0.283,171.961,0.157,16
24,dream theater,distant memories - live in london (bonus track edition),4,6plyn55etl93ydh5znywqs,"barstool warrior - live at hammersmith apollo, london, uk, 2020",spotify:track:6plyn55etl93ydh5znywqs,0.000518,0.394,0.945,0.00615,0.972,-6.379,0.0911,155.978,0.221,16
25,dream theater,distant memories - live in london (bonus track edition),5,071mhnynqu3yuxeudk03ul,"in the presence of enemies - part 1 - live at hammersmith apollo, london, uk, 2020",spotify:track:071mhnynqu3yuxeudk03ul,0.000317,0.172,0.952,0.0952,0.427,-6.449,0.218,186.27,0.171,16
